,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
19172,19172,2024-08-03 11:00:00,19060.0,0.0072433346717407,138.05795884337854,2592.1121350901994,0.1080298845347331,2512.636533074249,0.110382080078125,5.857474363401277e-06,729.2,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,12.9,14.8,16.0,729.2,64.8,9.4,2024-08-03,0.110382080078125
19173,19173,2024-08-03 11:30:00,19074.0,0.0072406759399607,138.1086528788113,2594.439458746584,0.107425233981963,2516.3734202803944,0.109527587890625,5.745043113841266e-06,729.3,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,12.6,14.8,15.7,729.3,65.2,9.0,2024-08-03,0.109527587890625
19174,19174,2024-08-03 12:00:00,18932.0,0.0072677796589126,137.59360450253493,2569.903140705493,0.1139233169975224,2491.195771958173,0.115325927734375,5.850780103666566e-06,729.2,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,12.3,14.5,15.7,729.2,66.4,9.0,2024-08-03,0.115325927734375
19175,19175,2024-08-03 12:30:00,18760.0,0.0073010207540571,136.96714934611146,2548.3670859573444,0.119860289619379,2470.0117438605744,0.120513916015625,5.874566617954505e-06,729.4,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,12.0,14.2,15.4,729.4,68.4,8.6,2024-08-03,0.120513916015625
19176,19176,2024-08-03 13:00:00,18808.0,0.0072916983147315,137.14226190347014,2560.572582771831,0.116467933364101,2480.058211514238,0.118011474609375,6.011983380947593e-06,729.6,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,11.6,13.8,15.4,729.6,70.0,8.6,2024-08-03,0.118011474609375
19177,19177,2024-08-03 13:30:00,19132.0,0.007229692300722,138.31847309741386,2615.10096333785,0.1021607722583065,2528.478367324484,0.106781005859375,6.344219389517963e-06,729.9,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,11.3,13.5,15.1,729.9,72.0,9.0,2024-08-03,0.106781005859375
19178,19178,2024-08-03 14:00:00,19060.0,0.0072433346717407,138.05795884337854,2609.6004820392827,0.1035443668680695,2514.760389334969,0.109893798828125,6.983957678398571e-06,729.8,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,11.3,13.5,15.1,729.8,71.6,10.6,2024-08-03,0.109893798828125
19179,19179,2024-08-03 14:30:00,18934.0,0.0072673958006897,137.60087209025966,2599.5271653445648,0.1061117513362988,2496.2584633409224,0.114166259765625,7.660999045260493e-06,729.7,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,11.3,13.2,14.8,729.7,67.6,13.0,2024-08-03,0.114166259765625
19180,19180,2024-08-03 15:00:00,19132.0,0.007229692300722,138.31847309741386,2631.991666213524,0.0979907510183427,2522.362782330122,0.108123779296875,8.048661876004433e-06,729.7,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,11.6,13.2,14.8,729.7,67.6,13.8,2024-08-03,0.108123779296875
19181,19181,2024-08-03 15:30:00,18988.0,0.0072570545645034,137.79695207079146,2602.7331061856285,0.1052898980164896,2512.5729665843137,0.110382080078125,6.645109364162769e-06,729.7,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,12.0,13.2,14.5,729.7,40.8,19.0,2024-08-03,0.110382080078125
19182,19182,2024-08-03 16:00:00,19300.0,0.0071981575074869,138.92443989449805,2632.4263731692536,0.097884966616825,2553.858134352078,0.101287841796875,5.697134723078083e-06,729.7,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,12.3,13.2,14.5,729.7,30.4,21.4,2024-08-03,0.101287841796875
19183,19183,2024-08-03 16:30:00,18964.0,0.0072616452162421,137.70983988081608,2577.109731647486,0.1119861033259674,2507.51112878033,0.111541748046875,5.140009155952765e-06,729.6,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,12.9,13.2,14.5,729.6,26.8,21.8,2024-08-03,0.111541748046875
19184,19184,2024-08-03 17:00:00,19412.0,0.0071773621266201,139.3269536019503,2648.9395184206846,0.0939220954005896,2571.8584379334784,0.097503662109375,5.5501787943534336e-06,729.5,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,13.2,13.2,14.5,729.5,26.4,23.4,2024-08-03,0.097503662109375
19185,19185,2024-08-03 17:30:00,19150.0,0.0072262937352992,138.38352503098048,2607.223814580525,0.1041461713554368,2533.33417246956,0.105682373046875,5.401287838882806e-06,729.3,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,14.2,13.5,14.5,729.3,24.0,24.6,2024-08-03,0.105682373046875
19186,19186,2024-08-03 18:00:00,19238.0,0.0072097472458324,138.70111751532502,2616.1908682298404,0.1018881309123671,2545.788586376027,0.102996826171875,5.121187074342654e-06,729.1,0.008,0.03,0.056,0.0230430046005722,0.0650335554576341,0.033277126215015,15.1,13.8,14.5,729.1,20.8,26.2,2024-08-03,0.102996826171875
